时间,序列号,计轴数量,计轴次序,本计轴数据长度,计轴区段ID,计轴方向,计轴所属联锁,计轴所属ZC,共管区段计轴标志位,计轴锁闭状态,计轴占用状态,计轴上周占用状态,计轴区段之前通过列车类型,计轴区段非通信列车占用标记,计轴区段非通信列车占用标志冗余等待位,计轴区段的混跑标记,计轴区段ARB状态标记,计轴区段ARB标志和冗余等待位,计轴区段包含的逻辑区段数量,逻辑区段_1_ID,状态,逻辑区段_2_ID,状态,逻辑区段_3_ID,状态,逻辑区段_4_ID,状态,逻辑区段_5_ID,状态,逻辑区段_6_ID,状态,逻辑区段_7_ID,状态,逻辑区段_8_ID,状态,逻辑区段_9_ID,状态,逻辑区段_10_ID,状态,逻辑区段_11_ID,状态,逻辑区段_12_ID,状态,逻辑区段_13_ID,状态,逻辑区段_14_ID,状态,逻辑区段_15_ID,状态,逻辑区段_16_ID,状态,计轴区段内当前列车数量,列车_1_ID,类型,列车_2_ID,类型,列车_3_ID,类型,列车_4_ID,类型,列车_5_ID,类型,列车_6_ID,类型,列车_7_ID,类型,列车_8_ID,类型,列车_9_ID,类型,列车_10_ID,类型,列车_11_ID,类型,列车_12_ID,类型,列车_13_ID,类型,列车_14_ID,类型,列车_15_ID,类型,
2017-12-3 11:38:19,6747,62,1,25,0x6c,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xb2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,2,25,0x6d,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xb3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,3,25,0x6e,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xb4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,4,25,0x6f,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xb5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,5,25,0x70,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xb6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,6,25,0x71,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xb7,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,7,31,0x72,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,3,0xba,0x0,0xb9,0x0,0xb8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,8,28,0x73,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,2,0xbc,0x0,0xbb,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,9,25,0x74,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xbd,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
2017-12-3 11:38:19,6747,62,10,25,0x75,0x0,0x1,0x1,0x0,0xaa,0x55,0x2,0x0,0x55,0x0,0xaa,0xaa,0x0,1,0xbe,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0x97,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,
