时间,序列号,ESP数量,ESP次序,ESPId,ESP所属联锁,ESP所属ZC,ESP状态,
2017-12-3 11:38:19,6747,10,1,0x12,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,2,0x13,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,3,0x14,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,4,0x15,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,5,0x16,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,6,0x17,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,7,0x1f,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,8,0x20,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,9,0x21,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,10,0x22,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,1,0x12,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,2,0x13,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,3,0x14,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,4,0x15,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,5,0x16,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,6,0x17,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,7,0x1f,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,8,0x20,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,9,0x21,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,10,0x22,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,1,0x12,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,2,0x13,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,3,0x14,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,4,0x15,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,5,0x16,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,6,0x17,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,7,0x1f,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,8,0x20,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,9,0x21,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,10,0x22,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,1,0x12,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,2,0x13,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,3,0x14,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,4,0x15,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,5,0x16,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,6,0x17,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,7,0x1f,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,8,0x20,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,9,0x21,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,10,0x22,0x2,0x2,0x55,
