时间,序列号,overlap数量,overlap次序,overlapId,overlap所属联锁,overlap所属ZC,overlap有无道岔标志位,overlap设置标志位,
2017-12-3 11:38:19,6747,25,1,0x1b,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,2,0x1c,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,3,0x1d,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,4,0x1f,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,5,0x20,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,6,0x21,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,7,0x22,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,8,0x23,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,9,0x24,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,10,0x25,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,11,0x26,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,12,0x27,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,13,0x28,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,14,0x2f,0x2,0x2,0x0,0xaa,
2017-12-3 11:38:19,6747,25,15,0x31,0x2,0x2,0x0,0xaa,
2017-12-3 11:38:19,6747,25,16,0x5b,0x2,0x2,0x0,0xaa,
2017-12-3 11:38:19,6747,25,17,0x5d,0x2,0x2,0x0,0xaa,
2017-12-3 11:38:19,6747,25,18,0x5e,0x2,0x2,0x0,0xaa,
2017-12-3 11:38:19,6747,25,19,0x62,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,20,0x64,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,21,0x65,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,22,0x66,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,23,0x67,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,24,0x68,0x2,0x2,0x0,0xaa,
2017-12-3 11:38:19,6747,25,25,0x69,0x2,0x2,0x0,0xaa,
2017-12-3 11:38:19,6747,25,1,0x1b,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,2,0x1c,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,3,0x1d,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,4,0x1f,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,5,0x20,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,6,0x21,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,7,0x22,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,8,0x23,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,9,0x24,0x1,0x1,0x0,0xaa,
2017-12-3 11:38:19,6747,25,10,0x25,0x1,0x1,0x0,0xaa,
