时间,序列号,PSD数量,PSD次序,PSDId,PSD所属联锁,PSD所属ZC,PSD状态,
2017-12-3 11:38:19,6747,10,1,0x1,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,2,0x2,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,3,0x3,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,4,0x4,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,5,0x5,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,6,0x6,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,7,0x18,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,8,0x19,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,9,0x1a,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,10,0x1b,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,1,0x1,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,2,0x2,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,3,0x3,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,4,0x4,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,5,0x5,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,6,0x6,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,7,0x18,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,8,0x19,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,9,0x1a,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,10,0x1b,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,1,0x1,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,2,0x2,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,3,0x3,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,4,0x4,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,5,0x5,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,6,0x6,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,7,0x18,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,8,0x19,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,9,0x1a,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,10,0x1b,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,1,0x1,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,2,0x2,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,3,0x3,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,4,0x4,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,5,0x5,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,6,0x6,0x2,0x2,0x55,
2017-12-3 11:38:19,6747,10,7,0x18,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,8,0x19,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,9,0x1a,0x1,0x1,0x55,
2017-12-3 11:38:19,6747,10,10,0x1b,0x2,0x2,0x55,
