时间,序列号,道岔数量,道岔次序,道岔Id,道岔区段所属联锁,道岔区段所属ZC,共管区段道岔标志位,道岔状态,道岔锁闭状态,道岔是属于正线还是车辆段,
2017-12-3 11:38:19,6747,15,1,0x19,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,2,0x1a,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,3,0x1b,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,4,0x1c,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,5,0x1d,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,6,0x1e,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,7,0x1f,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,8,0x20,0x1,0x1,0x55,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,9,0x21,0x2,0x2,0xaa,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,10,0x22,0x2,0x2,0xaa,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,11,0x2c,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,12,0x2d,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,13,0x2e,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,14,0x2f,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,15,0x30,0x1,0x1,0x55,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,1,0x19,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,2,0x1a,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,3,0x1b,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,4,0x1c,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,5,0x1d,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,6,0x1e,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,7,0x1f,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,8,0x20,0x1,0x1,0x55,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,9,0x21,0x2,0x2,0xaa,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,10,0x22,0x2,0x2,0xaa,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,11,0x2c,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,12,0x2d,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,13,0x2e,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,14,0x2f,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,15,0x30,0x1,0x1,0x55,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,1,0x19,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,2,0x1a,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,3,0x1b,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,4,0x1c,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,5,0x1d,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,6,0x1e,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,7,0x1f,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,8,0x20,0x1,0x1,0x55,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,9,0x21,0x2,0x2,0xaa,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,10,0x22,0x2,0x2,0xaa,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,11,0x2c,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,12,0x2d,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,13,0x2e,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,14,0x2f,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,15,0x30,0x1,0x1,0x55,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,1,0x19,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,2,0x1a,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,3,0x1b,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,4,0x1c,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,5,0x1d,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,6,0x1e,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,7,0x1f,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,8,0x20,0x1,0x1,0x55,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,9,0x21,0x2,0x2,0xaa,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,10,0x22,0x2,0x2,0xaa,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,11,0x2c,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,12,0x2d,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,13,0x2e,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,14,0x2f,0x1,0x1,0x0,0x3,0xaa,0xaa,
2017-12-3 11:38:19,6747,15,15,0x30,0x1,0x1,0x55,0x3,0xaa,0xaa,
